iter	Passed	Remaining
410	4300	6162
411	4310	6151
412	4319	6139
413	4330	6129
414	4340	6118
415	4350	6107
416	4360	6096
417	4370	6084
418	4380	6073
419	4389	6062
420	4399	6050
421	4409	6039
422	4420	6029
423	4429	6018
424	4439	6006
425	4449	5995
426	4459	5984
427	4469	5973
428	4479	5962
429	4489	5951
430	4499	5940
431	4509	5929
432	4519	5917
433	4529	5907
434	4539	5896
435	4549	5885
436	4560	5874
437	4569	5863
438	4579	5851
439	4589	5840
440	4598	5829
441	4611	5822
442	4624	5814
443	4633	5802
444	4644	5792
445	4653	5780
446	4663	5769
447	4673	5757
448	4683	5747
449	4693	5736
450	4703	5724
451	4712	5713
452	4722	5702
453	4731	5690
454	4741	5679
455	4751	5668
456	4761	5657
457	4771	5646
458	4780	5634
459	4790	5624
460	4800	5612
461	4810	5601
462	4820	5591
463	4830	5580
464	4840	5569
465	4850	5558
466	4860	5547
467	4870	5536
468	4879	5525
469	4889	5514
470	4899	5503
471	4909	5492
472	4919	5480
473	4929	5469
474	4938	5458
475	4948	5447
476	4958	5437
477	4968	5426
478	4978	5415
479	4988	5404
480	4999	5393
481	5009	5383
482	5019	5373
483	5029	5362
484	5040	5352
485	5050	5341
486	5060	5330
487	5070	5319
488	5079	5308
489	5090	5297
490	5099	5286
491	5109	5275
492	5119	5265
493	5129	5253
494	5139	5243
495	5149	5232
496	5158	5221
497	5168	5210
498	5178	5198
499	5188	5188
500	5201	5181
501	5213	5171
502	5223	5161
503	5233	5150
504	5243	5139
505	5253	5129
506	5264	5118
507	5274	5107
508	5284	5097
509	5293	5086
510	5303	5075
511	5313	5064
512	5323	5053
513	5333	5042
514	5343	5031
515	5353	5021
516	5363	5010
517	5373	4999
518	5383	4988
519	5393	4978
520	5403	4967
521	5413	4957
522	5423	4946
523	5433	4935
524	5442	4924
525	5452	4913
526	5462	4903
527	5472	4891
528	5482	4881
529	5492	4870
530	5503	4860
531	5513	4850
532	5523	4839
533	5533	4829
534	5543	4818
535	5553	4807
536	5562	4796
537	5572	4785
538	5583	4775
539	5592	4764
540	5603	4753
541	5613	4743
542	5623	4732
543	5633	4722
544	5643	4711
545	5653	4701
546	5666	4692
547	5676	4682
548	5685	4670
549	5695	4660
550	5705	4649
551	5715	4638
552	5725	4627
553	5735	4617
554	5745	4606
555	5755	4595
556	5764	4584
557	5774	4574
558	5785	4563
559	5799	4556
560	5810	4546
561	5820	4536
562	5829	4525
563	5839	4514
564	5849	4503
565	5859	4492
566	5868	4481
567	5878	4471
568	5887	4459
569	5897	4449
570	5907	4438
571	5916	4427
572	5926	4416
573	5936	4405
574	5946	4394
575	5955	4384
576	5965	4373
577	5975	4362
578	5984	4351
579	5994	4340
580	6004	4330
581	6014	4319
582	6024	4309
583	6034	4298
584	6044	4287
585	6053	4276
586	6064	4266
587	6073	4255
588	6083	4245
589	6093	4234
590	6103	4224
591	6115	4214
592	6125	4203
593	6135	4193
594	6144	4182
595	6154	4171
596	6164	4161
597	6173	4150
598	6183	4139
599	6193	4128
600	6203	4118
601	6213	4108
602	6223	4097
603	6232	4086
604	6243	4076
605	6252	4065
606	6262	4054
607	6272	4044
608	6282	4033
609	6291	4022
610	6301	4012
611	6311	4001
612	6321	3990
613	6330	3979
614	6340	3969
615	6349	3958
616	6359	3947
617	6369	3937
618	6382	3928
619	6395	3919
620	6405	3909
621	6414	3898
622	6424	3887
623	6434	3877
624	6443	3866
625	6453	3855
626	6462	3844
627	6472	3833
628	6481	3823
629	6491	3812
630	6501	3801
631	6510	3790
632	6519	3780
633	6530	3770
634	6542	3760
635	6553	3750
636	6563	3740
637	6573	3729
638	6583	3719
639	6593	3708
640	6603	3698
641	6613	3687
642	6623	3677
643	6633	3666
644	6643	3656
645	6653	3646
646	6663	3635
647	6674	3625
648	6685	3615
649	6698	3607
650	6709	3596
651	6720	3587
652	6731	3576
653	6741	3566
654	6753	3557
655	6765	3547
656	6776	3537
657	6787	3527
658	6798	3518
659	6810	3508
660	6821	3498
661	6832	3488
662	6842	3478
663	6853	3467
664	6863	3457
665	6873	3447
666	6884	3437
667	6894	3426
668	6905	3416
669	6915	3406
670	6925	3395
671	6936	3385
672	6946	3375
673	6959	3366
674	6976	3358
675	6986	3348
676	6996	3337
677	7006	3327
678	7016	3317
679	7025	3306
680	7035	3295
681	7046	3285
682	7062	3278
683	7084	3273
684	7097	3264
685	7115	3256
686	7135	3251
687	7154	3244
688	7168	3235
689	7178	3225
690	7188	3214
691	7198	3203
692	7208	3193
693	7218	3182
694	7228	3172
695	7238	3161
696	7248	3151
697	7258	3140
698	7268	3129
699	7278	3119
700	7288	3108
701	7298	3098
702	7308	3087
703	7318	3077
704	7328	3066
705	7337	3055
706	7347	3044
707	7356	3034
708	7366	3023
709	7376	3012
710	7387	3002
711	7397	2992
712	7407	2981
713	7416	2970
714	7426	2960
715	7436	2949
716	7445	2938
717	7455	2928
718	7465	2917
719	7475	2907
720	7485	2896
721	7495	2886
722	7505	2875
723	7515	2864
724	7525	2854
725	7535	2844
726	7548	2834
727	7561	2825
728	7571	2814
729	7581	2804
730	7590	2793
731	7600	2782
732	7610	2772
733	7620	2761
734	7629	2750
735	7639	2740
736	7648	2729
737	7658	2718
738	7667	2707
739	7676	2697
740	7686	2686
741	7697	2676
742	7707	2666
743	7719	2656
744	7728	2645
745	7738	2634
746	7747	2624
747	7757	2613
748	7766	2602
749	7776	2592
750	7786	2581
751	7796	2571
752	7806	2560
753	7815	2549
754	7826	2539
755	7835	2528
756	7845	2518
757	7855	2507
758	7864	2497
759	7874	2486
760	7884	2476
761	7894	2465
762	7903	2454
763	7912	2444
764	7922	2433
765	7932	2423
766	7941	2412
767	7951	2401
768	7960	2391
769	7970	2380
770	7980	2370
771	7989	2359
772	7999	2349
773	8008	2338
774	8018	2328
775	8028	2317
776	8037	2306
777	8046	2296
778	8056	2285
779	8066	2275
780	8075	2264
781	8085	2253
782	8094	2243
783	8103	2232
784	8113	2222
785	8122	2211
786	8134	2201
787	8145	2191
788	8155	2180
789	8166	2170
790	8177	2160
791	8186	2150
792	8196	2139
793	8206	2129
794	8216	2118
795	8225	2108
796	8235	2097
797	8244	2087
798	8254	2076
799	8264	2066
800	8273	2055
801	8282	2044
802	8292	2034
803	8302	2024
804	8312	2013
805	8321	2003
806	8332	1992
807	8341	1982
808	8351	1971
809	8360	1961
810	8371	1950
811	8381	1940
812	8391	1930
813	8400	1919
814	8409	1909
815	8419	1898
816	8429	1888
817	8439	1877
818	8449	1867
819	8459	1856
820	8469	1846
821	8478	1835
822	8487	1825
823	8498	1815
824	8508	1804
825	8517	1794
826	8527	1783
827	8537	1773
828	8547	1763
829	8556	1752
830	8567	1742
831	8577	1732
832	8587	1721
833	8597	1711
834	8606	1700
835	8616	1690
836	8625	1679
837	8635	1669
838	8645	1659
839	8654	1648
840	8665	1638
841	8674	1627
842	8684	1617
843	8694	1607
844	8703	1596
845	8713	1586
846	8727	1576
847	8739	1566
848	8748	1556
849	8758	1545
850	8768	1535
851	8778	1524
852	8787	1514
853	8797	1504
854	8806	1493
855	8816	1483
856	8826	1472
857	8835	1462
858	8845	1451
859	8855	1441
860	8864	1431
861	8874	1420
862	8884	1410
863	8893	1399
864	8902	1389
865	8912	1379
866	8921	1368
867	8931	1358
868	8941	1347
869	8950	1337
870	8960	1327
871	8969	1316
872	8979	1306
873	8988	1295
874	8998	1285
875	9008	1275
876	9017	1264
877	9027	1254
878	9036	1243
879	9045	1233
880	9055	1223
881	9065	1212
882	9074	1202
883	9083	1192
884	9093	1181
885	9102	1171
886	9112	1160
887	9122	1150
888	9131	1140
889	9141	1129
890	9150	1119
891	9159	1109
892	9170	1098
893	9179	1088
894	9190	1078
895	9199	1067
896	9209	1057
897	9218	1047
898	9228	1036
899	9237	1026
900	9246	1016
901	9256	1005
902	9265	995
903	9275	984
904	9284	974
905	9294	964
906	9304	954
907	9317	944
908	9329	933
909	9339	923
910	9349	913
911	9358	903
912	9368	892
913	9378	882
914	9388	872
915	9398	861
916	9408	851
917	9418	841
918	9428	831
919	9439	820
920	9449	810
921	9459	800
922	9469	789
923	9479	779
924	9488	769
925	9499	759
926	9509	748
927	9520	738
928	9529	728
929	9539	718
930	9549	707
931	9560	697
932	9569	687
933	9579	676
934	9588	666
935	9597	656
936	9607	645
937	9617	635
938	9626	625
939	9636	615
940	9645	604
941	9655	594
942	9664	584
943	9674	573
944	9684	563
945	9694	553
946	9704	543
947	9714	532
948	9724	522
949	9734	512
950	9743	502
951	9755	491
952	9766	481
953	9775	471
954	9785	461
955	9795	450
956	9805	440
957	9814	430
958	9824	420
959	9833	409
960	9842	399
961	9852	389
962	9861	378
963	9870	368
964	9880	358
965	9889	348
966	9903	337
967	9913	327
968	9923	317
969	9933	307
970	9942	296
971	9952	286
972	9962	276
973	9972	266
974	9982	255
975	9991	245
976	10001	235
977	10010	225
978	10020	214
979	10029	204
980	10038	194
981	10048	184
982	10057	173
983	10067	163
984	10078	153
985	10088	143
986	10098	133
987	10108	122
988	10118	112
989	10127	102
990	10136	92
991	10146	81
992	10156	71
993	10166	61
994	10175	51
995	10185	40
996	10195	30
997	10205	20
998	10214	10
999	10224	0
